id,name,score1,score2
1,student_1,50,66
2,student_2,84,90
3,student_3,79,80
4,student_4,69,50
5,student_5,69,92
6,student_6,92,63
7,student_7,76,99
8,student_8,58,83
9,student_9,99,99
10,student_10,68,79
11,student_11,83,54
12,student_12,79,55
13,student_13,83,92
14,student_14,96,74
15,student_15,76,58
16,student_16,96,100
17,student_17,59,81
18,student_18,62,99
19,student_19,67,51
20,student_20,73,80
21,student_21,75,64
22,student_22,57,86
23,student_23,55,50
24,student_24,85,66
25,student_25,96,99
26,student_26,52,94
27,student_27,79,86
28,student_28,89,52
29,student_29,86,81
30,student_30,74,60
31,student_31,58,97
32,student_32,67,85
33,student_33,52,60
34,student_34,89,84
35,student_35,65,52
36,student_36,50,58
37,student_37,53,94
38,student_38,95,70
39,student_39,66,99
40,student_40,75,57
41,student_41,70,91
42,student_42,85,97
43,student_43,50,99
44,student_44,60,63
45,student_45,58,53
46,student_46,89,56
47,student_47,82,79
48,student_48,82,70
49,student_49,52,86
50,student_50,52,65
51,student_51,56,68
52,student_52,84,70
53,student_53,79,88
54,student_54,54,79
55,student_55,75,82
56,student_56,51,100
57,student_57,76,78
58,student_58,51,80
59,student_59,57,61
60,student_60,79,84
61,student_61,56,86
62,student_62,84,97
63,student_63,65,61
64,student_64,93,57
65,student_65,93,55
66,student_66,75,70
67,student_67,78,56
68,student_68,83,84
69,student_69,80,77
70,student_70,89,67
71,student_71,73,52
72,student_72,98,69
73,student_73,91,86
74,student_74,86,73
75,student_75,95,97
76,student_76,57,92
77,student_77,60,72
78,student_78,66,88
79,student_79,59,77
80,student_80,92,70
81,student_81,84,60
82,student_82,75,69
83,student_83,63,57
84,student_84,71,66
85,student_85,88,67
86,student_86,67,75
87,student_87,100,60
88,student_88,72,69
89,student_89,60,63
90,student_90,87,78
91,student_91,100,77
92,student_92,68,52
93,student_93,50,98
94,student_94,79,85
95,student_95,57,58
96,student_96,73,63
97,student_97,58,68
98,student_98,63,87
99,student_99,74,88
100,student_100,74,77
101,student_101,98,92
102,student_102,85,80
103,student_103,96,53
104,student_104,83,97
105,student_105,64,93
106,student_106,68,75
107,student_107,64,50
108,student_108,69,52
109,student_109,75,99
110,student_110,66,80
111,student_111,81,83
112,student_112,100,77
113,student_113,88,88
114,student_114,60,62
